2025-10-27 10:02:18.146 I PCd.exe[31480] main.cpp:46 main | Version : 4.2.0.2
2025-10-27 10:02:18.146 I PCd.exe[31480] main.cpp:47 main | v : Version check
2025-10-27 10:02:18.146 E PCd.exe[31480] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-27 10:07:30.721 I PCd.exe[29156] main.cpp:46 main | Version : 4.2.0.2
2025-10-27 10:07:30.721 I PCd.exe[29156] main.cpp:47 main | v : Version check
2025-10-27 10:07:30.721 E PCd.exe[29156] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-27 11:54:22.904 I PCd.exe[33584] main.cpp:46 main | Version : 4.2.0.2
2025-10-27 11:54:22.904 I PCd.exe[33584] main.cpp:47 main | v : Version check
2025-10-27 11:54:22.904 E PCd.exe[33584] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-27 11:54:25.276 I PCd.exe[29156] main.cpp:46 main | Version : 4.2.0.2
2025-10-27 11:54:25.276 I PCd.exe[29156] main.cpp:47 main | v : Version check
2025-10-27 11:54:25.276 E PCd.exe[29156] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-27 11:54:45.814 I PCd.exe[30024] main.cpp:46 main | Version : 4.2.0.2
2025-10-27 11:54:45.814 I PCd.exe[30024] main.cpp:47 main | v : Version check
2025-10-27 11:54:45.814 E PCd.exe[30024] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-27 11:56:45.206 I PCd.exe[708] main.cpp:46 main | Version : 4.2.0.2
2025-10-27 11:56:45.206 I PCd.exe[708] main.cpp:47 main | v : Version check
2025-10-27 11:56:45.206 E PCd.exe[708] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
2025-10-27 11:59:15.077 I PCd.exe[26636] main.cpp:46 main | Version : 4.2.0.2
2025-10-27 11:59:15.077 I PCd.exe[26636] main.cpp:47 main | v : Version check
2025-10-27 11:59:15.077 E PCd.exe[26636] main.cpp:55 main | 4.2.0.2 - Aug 12 2024 : 13:48:12
