2025-10-27 10:02:12.420 T MTd.exe[25784] main.cpp:43 main | 4DReplay MTd
2025-10-27 10:02:12.420 T MTd.exe[25784] main.cpp:44 main | Version : 4.4.0.2
2025-10-27 10:02:12.420 T MTd.exe[25784] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-27 10:02:12.420 I MTd.exe[25784] main.cpp:47 main | ver : Version
2025-10-27 10:02:12.420 I MTd.exe[25784] main.cpp:48 main | exit : Exit
2025-10-27 10:07:28.656 T MTd.exe[7840] main.cpp:43 main | 4DReplay MTd
2025-10-27 10:07:28.656 T MTd.exe[7840] main.cpp:44 main | Version : 4.4.0.2
2025-10-27 10:07:28.656 T MTd.exe[7840] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-27 10:07:28.656 I MTd.exe[7840] main.cpp:47 main | ver : Version
2025-10-27 10:07:28.656 I MTd.exe[7840] main.cpp:48 main | exit : Exit
2025-10-27 11:54:21.134 T MTd.exe[31804] main.cpp:43 main | 4DReplay MTd
2025-10-27 11:54:21.134 T MTd.exe[31804] main.cpp:44 main | Version : 4.4.0.2
2025-10-27 11:54:21.134 T MTd.exe[31804] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-27 11:54:21.134 I MTd.exe[31804] main.cpp:47 main | ver : Version
2025-10-27 11:54:21.134 I MTd.exe[31804] main.cpp:48 main | exit : Exit
2025-10-27 11:54:24.214 T MTd.exe[516] main.cpp:43 main | 4DReplay MTd
2025-10-27 11:54:24.214 T MTd.exe[516] main.cpp:44 main | Version : 4.4.0.2
2025-10-27 11:54:24.214 T MTd.exe[516] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-27 11:54:24.214 I MTd.exe[516] main.cpp:47 main | ver : Version
2025-10-27 11:54:24.214 I MTd.exe[516] main.cpp:48 main | exit : Exit
2025-10-27 11:54:43.685 T MTd.exe[32656] main.cpp:43 main | 4DReplay MTd
2025-10-27 11:54:43.685 T MTd.exe[32656] main.cpp:44 main | Version : 4.4.0.2
2025-10-27 11:54:43.685 T MTd.exe[32656] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-27 11:54:43.685 I MTd.exe[32656] main.cpp:47 main | ver : Version
2025-10-27 11:54:43.685 I MTd.exe[32656] main.cpp:48 main | exit : Exit
2025-10-27 11:56:31.354 T MTd.exe[15224] main.cpp:43 main | 4DReplay MTd
2025-10-27 11:56:31.354 T MTd.exe[15224] main.cpp:44 main | Version : 4.4.0.2
2025-10-27 11:56:31.354 T MTd.exe[15224] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-27 11:56:31.354 I MTd.exe[15224] main.cpp:47 main | ver : Version
2025-10-27 11:56:31.354 I MTd.exe[15224] main.cpp:48 main | exit : Exit
2025-10-27 11:59:13.390 T MTd.exe[9968] main.cpp:43 main | 4DReplay MTd
2025-10-27 11:59:13.390 T MTd.exe[9968] main.cpp:44 main | Version : 4.4.0.2
2025-10-27 11:59:13.390 T MTd.exe[9968] main.cpp:45 main | Date : Mar 25 2025 - 11:02:36
2025-10-27 11:59:13.390 I MTd.exe[9968] main.cpp:47 main | ver : Version
2025-10-27 11:59:13.390 I MTd.exe[9968] main.cpp:48 main | exit : Exit
